City	State	Zipcode	Group	Latitude	Longitude
Newark	DE	19711	Box	39.682800	-75.756200
Newark	DE	19711	Box	39.682800	-75.753600
Newark	DE	19711	Box	39.683100	-75.756200
Newark	DE	19711	Box	39.683100	-75.753600
Newark	DE	19711	Burglary	39.682960	-75.756010
Newark	DE	19711	Vandalism	39.682970	-75.755810
Newark	DE	19711	Vandalism	39.682980	-75.754680
Newark	DE	19711	Vandalism	39.682970	-75.755780
Newark	DE	19711	Vandalism	39.682990	-75.754080
Newark	DE	19711	Burglary	39.682980	-75.755940
Newark	DE	19711	Vandalism	39.682960	-75.755310
Newark	DE	19711	Burglary	39.682990	-75.754030
Newark	DE	19711	Burglary	39.682960	-75.755500
Newark	DE	19711	Vandalism	39.683010	-75.756040
Newark	DE	19711	Burglary	39.682970	-75.755490
